purchase_order_id,revision_no,status,employee_id,vendor_id,ship_method_id,order_date,ship_date,sub_total,tax_amt,freight,total_due,modified_date
39,4,4,252,1626,2,1/16/2012 0:00,1/25/2012 0:00,7132.125,570.57,178.3031,7880.9981,1/25/2012 0:00
40,4,4,260,1542,2,1/16/2012 0:00,1/25/2012 0:00,28343.7,2267.496,708.5925,31319.7885,1/25/2012 0:00
41,4,4,258,1610,4,1/16/2012 0:00,1/25/2012 0:00,22516.725,1801.338,562.9181,24880.9811,1/25/2012 0:00
42,5,4,254,1638,5,1/16/2012 0:00,1/25/2012 0:00,34644.225,2771.538,866.1056,38281.8686,1/25/2012 0:00
43,4,4,257,1582,5,1/16/2012 0:00,1/25/2012 0:00,427.9275,34.2342,10.6982,472.8599,1/25/2012 0:00
44,4,3,261,1510,5,1/16/2012 0:00,1/25/2012 0:00,143.0415,11.4433,3.576,158.0608,1/25/2012 0:00
45,4,4,250,1526,2,1/16/2012 0:00,1/25/2012 0:00,28199.325,2255.946,704.9831,31160.2541,1/25/2012 0:00
46,4,4,253,1644,1,1/16/2012 0:00,1/25/2012 0:00,3713.325,297.066,92.8331,4103.2241,1/25/2012 0:00
47,4,4,255,1680,5,1/16/2012 0:00,1/25/2012 0:00,63831.075,5106.486,1595.7769,70533.3379,1/25/2012 0:00
48,4,4,256,1584,5,1/16/2012 0:00,1/25/2012 0:00,16340.31,1307.2248,408.5078,18056.0426,1/25/2012 0:00
49,4,4,259,1620,5,1/20/2012 0:00,1/29/2012 0:00,5711.475,456.918,142.7869,6311.1799,1/29/2012 0:00
50,5,4,260,1666,5,1/20/2012 0:00,1/29/2012 0:00,429.345,34.3476,10.7336,474.4262,1/29/2012 0:00
51,4,4,258,1592,2,1/20/2012 0:00,1/29/2012 0:00,97.965,7.8372,2.4491,108.2513,1/29/2012 0:00
52,4,4,254,1618,4,1/20/2012 0:00,1/29/2012 0:00,114.471,9.1577,2.8618,126.4905,1/29/2012 0:00
53,4,4,252,1612,4,1/24/2012 0:00,2/2/2012 0:00,132.6465,10.6117,3.3162,146.5744,2/2/2012 0:00
54,6,3,261,1586,5,1/24/2012 0:00,2/2/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,2/2/2012 0:00
55,4,4,251,1500,1,1/24/2012 0:00,2/2/2012 0:00,418.95,33.516,10.4738,462.9398,2/2/2012 0:00
56,4,4,253,1656,4,1/24/2012 0:00,2/2/2012 0:00,525.7665,42.0613,13.1442,580.972,2/2/2012 0:00
57,4,4,255,1572,1,1/24/2012 0:00,2/2/2012 0:00,461.79,36.9432,11.5448,510.278,2/2/2012 0:00
58,4,4,256,1562,4,1/24/2012 0:00,2/2/2012 0:00,630.378,50.4302,15.7595,696.5677,2/2/2012 0:00
59,9,4,259,1662,2,1/24/2012 0:00,2/2/2012 0:00,37.0755,2.966,0.9269,40.9684,2/2/2012 0:00
60,4,4,260,1682,4,1/24/2012 0:00,2/2/2012 0:00,21558.075,1724.646,538.9519,23821.6729,2/2/2012 0:00
61,4,4,258,1686,4,1/24/2012 0:00,2/2/2012 0:00,507.087,40.567,12.6772,560.3312,2/2/2012 0:00
62,4,4,254,1684,5,1/24/2012 0:00,2/2/2012 0:00,41048.7,3283.896,1026.2175,45358.8135,2/2/2012 0:00
63,4,4,257,1534,5,1/24/2012 0:00,2/2/2012 0:00,429.345,34.3476,10.7336,474.4262,2/2/2012 0:00
64,5,3,261,1614,5,1/24/2012 0:00,2/2/2012 0:00,279.153,22.3322,6.9788,308.464,2/2/2012 0:00
65,4,4,251,1588,5,1/24/2012 0:00,2/2/2012 0:00,40471.2,3237.696,1011.78,44720.676,2/2/2012 0:00
66,5,4,253,1622,5,1/24/2012 0:00,2/2/2012 0:00,563.5665,45.0853,14.0892,622.741,2/2/2012 0:00
67,4,4,255,1632,5,1/24/2012 0:00,2/2/2012 0:00,62092.8,4967.424,1552.32,68612.544,2/2/2012 0:00
68,5,4,256,1608,5,1/24/2012 0:00,2/2/2012 0:00,5948.25,475.86,148.7063,6572.8163,2/2/2012 0:00
69,4,4,259,1576,5,1/25/2012 0:00,2/3/2012 0:00,91117.95,7289.436,2277.9488,100685.3348,2/3/2012 0:00
70,5,4,260,1590,1,1/25/2012 0:00,2/3/2012 0:00,525,42,13.125,580.125,2/3/2012 0:00
71,4,4,258,1514,5,1/25/2012 0:00,2/3/2012 0:00,2003.6835,160.2947,50.0921,2214.0703,2/3/2012 0:00
72,4,4,254,1498,4,1/25/2012 0:00,2/3/2012 0:00,26455.275,2116.422,661.3819,29233.0789,2/3/2012 0:00
73,4,4,257,1674,2,2/9/2012 0:00,2/18/2012 0:00,944.37,75.5496,23.6093,1043.5289,2/18/2012 0:00
74,6,3,261,1652,4,2/9/2012 0:00,2/18/2012 0:00,44594.55,3567.564,1114.8638,49276.9778,2/18/2012 0:00
75,4,4,251,1578,3,2/9/2012 0:00,2/18/2012 0:00,62843.55,5027.484,1571.0888,69442.1228,2/18/2012 0:00
76,4,4,253,1538,5,2/9/2012 0:00,2/18/2012 0:00,37843.575,3027.486,946.0894,41817.1504,2/18/2012 0:00
77,4,4,252,1556,4,2/9/2012 0:00,2/18/2012 0:00,25531.275,2042.502,638.2819,28212.0589,2/18/2012 0:00
78,4,4,256,1554,5,2/9/2012 0:00,2/18/2012 0:00,694.1655,55.5332,17.3541,767.0528,2/18/2012 0:00
79,4,4,259,1688,4,2/9/2012 0:00,2/18/2012 0:00,125.748,10.0598,3.1437,138.9515,2/18/2012 0:00
80,4,4,260,1580,5,2/9/2012 0:00,2/18/2012 0:00,150.7905,12.0632,3.7698,166.6235,2/18/2012 0:00
81,4,4,258,1496,5,2/9/2012 0:00,2/18/2012 0:00,560.007,44.8006,14.0002,618.8078,2/18/2012 0:00
82,5,4,254,1494,2,2/9/2012 0:00,2/18/2012 0:00,8847.3,707.784,221.1825,9776.2665,2/18/2012 0:00
83,4,4,257,1650,5,2/9/2012 0:00,2/18/2012 0:00,171.0765,13.6861,4.2769,189.0395,2/18/2012 0:00
84,4,3,261,1654,4,2/9/2012 0:00,2/18/2012 0:00,20397.3,1631.784,509.9325,22539.0165,2/18/2012 0:00
85,4,4,251,1664,3,2/9/2012 0:00,2/18/2012 0:00,14628.075,1170.246,365.7019,16164.0229,2/18/2012 0:00
86,5,4,253,1678,3,2/9/2012 0:00,2/18/2012 0:00,58685.55,4694.844,1467.1388,64847.5328,2/18/2012 0:00
87,4,4,255,1616,5,2/9/2012 0:00,2/18/2012 0:00,773.01,61.8408,19.3253,854.1761,2/18/2012 0:00
88,5,4,252,1492,5,2/9/2012 0:00,2/18/2012 0:00,656.586,52.5269,16.4147,725.5276,2/18/2012 0:00
89,4,4,259,1602,5,2/23/2012 0:00,3/3/2012 0:00,1796.0355,143.6828,44.9009,1984.6192,3/3/2012 0:00
90,4,4,260,1540,4,2/23/2012 0:00,3/3/2012 0:00,358.6275,28.6902,8.9657,396.2834,3/3/2012 0:00
91,4,4,258,1628,5,2/23/2012 0:00,3/3/2012 0:00,34644.225,2771.538,866.1056,38281.8686,3/3/2012 0:00
92,4,4,250,1604,4,2/23/2012 0:00,3/3/2012 0:00,257.5755,20.606,6.4394,284.6209,3/3/2012 0:00
93,4,4,257,1690,5,2/27/2012 0:00,3/7/2012 0:00,146.286,11.7029,3.6572,161.6461,3/7/2012 0:00
94,4,3,261,1566,5,2/27/2012 0:00,3/7/2012 0:00,102.564,8.2051,2.5641,113.3332,3/7/2012 0:00
95,4,4,251,1698,5,2/27/2012 0:00,3/7/2012 0:00,150.7905,12.0632,3.7698,166.6235,3/7/2012 0:00
96,4,4,253,1560,5,2/27/2012 0:00,3/7/2012 0:00,13669.425,1093.554,341.7356,15104.7146,3/7/2012 0:00
97,6,4,255,1692,5,3/8/2012 0:00,3/17/2012 0:00,16393.23,1311.4584,409.8308,18114.5192,3/17/2012 0:00
98,4,4,256,1696,4,3/8/2012 0:00,3/17/2012 0:00,73377.15,5870.172,1834.4288,81081.7508,3/17/2012 0:00
99,4,4,259,1504,1,3/8/2012 0:00,3/17/2012 0:00,551.88,44.1504,13.797,609.8274,3/17/2012 0:00
100,4,4,260,1544,1,3/8/2012 0:00,3/17/2012 0:00,6987.75,559.02,174.6938,7721.4638,3/17/2012 0:00
101,5,4,258,1530,2,3/8/2012 0:00,3/17/2012 0:00,28072.275,2245.782,701.8069,31019.8639,3/17/2012 0:00
102,4,4,254,1508,1,3/8/2012 0:00,3/17/2012 0:00,35394.975,2831.598,884.8744,39111.4474,3/17/2012 0:00
103,4,4,257,1694,1,3/8/2012 0:00,3/17/2012 0:00,3407.25,272.58,85.1813,3765.0113,3/17/2012 0:00
104,4,3,261,1624,2,3/8/2012 0:00,3/17/2012 0:00,28297.5,2263.8,707.4375,31268.7375,3/17/2012 0:00
105,4,4,251,1548,2,3/8/2012 0:00,3/17/2012 0:00,59.9445,4.7956,1.4986,66.2387,3/17/2012 0:00
106,4,4,253,1598,4,3/8/2012 0:00,3/17/2012 0:00,332.955,26.6364,8.3239,367.9153,3/17/2012 0:00
107,4,4,255,1658,5,3/8/2012 0:00,3/17/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,3/17/2012 0:00
108,4,4,256,1536,4,3/8/2012 0:00,3/17/2012 0:00,674.3835,53.9507,16.8596,745.1938,3/17/2012 0:00
109,4,4,259,1568,2,3/8/2012 0:00,3/17/2012 0:00,31398.675,2511.894,784.9669,34695.5359,3/17/2012 0:00
110,4,4,250,1648,5,3/8/2012 0:00,3/17/2012 0:00,142.4115,11.3929,3.5603,157.3647,3/17/2012 0:00
111,4,4,258,1646,5,3/8/2012 0:00,3/17/2012 0:00,19236.525,1538.922,480.9131,21256.3601,3/17/2012 0:00
112,4,4,254,1672,4,3/8/2012 0:00,3/17/2012 0:00,272.4435,21.7955,6.8111,301.0501,3/17/2012 0:00
113,5,4,257,1600,1,3/9/2012 0:00,3/18/2012 0:00,1276.275,102.102,31.9069,1410.2839,3/18/2012 0:00
114,4,3,261,1522,1,3/9/2012 0:00,3/18/2012 0:00,2003.925,160.314,50.0981,2214.3371,3/18/2012 0:00
115,4,4,251,1570,2,3/9/2012 0:00,3/18/2012 0:00,50860.425,4068.834,1271.5106,56200.7696,3/18/2012 0:00
116,4,4,253,1516,1,3/9/2012 0:00,3/18/2012 0:00,454.86,36.3888,11.3715,502.6203,3/18/2012 0:00
117,4,4,255,1506,5,3/9/2012 0:00,3/18/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,3/18/2012 0:00
118,5,4,256,1626,2,3/9/2012 0:00,3/18/2012 0:00,7132.125,570.57,178.3031,7880.9981,3/18/2012 0:00
119,4,4,259,1542,2,3/9/2012 0:00,3/18/2012 0:00,28343.7,2267.496,708.5925,31319.7885,3/18/2012 0:00
120,4,4,260,1610,4,3/9/2012 0:00,3/18/2012 0:00,22516.725,1801.338,562.9181,24880.9811,3/18/2012 0:00
121,4,4,250,1638,5,3/9/2012 0:00,3/18/2012 0:00,34644.225,2771.538,866.1056,38281.8686,3/18/2012 0:00
122,4,4,254,1582,4,3/9/2012 0:00,3/18/2012 0:00,266.238,21.299,6.656,294.193,3/18/2012 0:00
123,5,4,257,1510,5,3/9/2012 0:00,3/18/2012 0:00,143.0415,11.4433,3.576,158.0608,3/18/2012 0:00
124,4,3,261,1526,2,3/9/2012 0:00,3/18/2012 0:00,28199.325,2255.946,704.9831,31160.2541,3/18/2012 0:00
125,4,4,251,1644,1,3/9/2012 0:00,3/18/2012 0:00,3713.325,297.066,92.8331,4103.2241,3/18/2012 0:00
126,4,4,253,1680,5,3/9/2012 0:00,3/18/2012 0:00,63831.075,5106.486,1595.7769,70533.3379,3/18/2012 0:00
127,4,4,255,1584,5,3/9/2012 0:00,3/18/2012 0:00,16340.31,1307.2248,408.5078,18056.0426,3/18/2012 0:00
128,4,4,256,1620,5,3/9/2012 0:00,3/18/2012 0:00,5711.475,456.918,142.7869,6311.1799,3/18/2012 0:00
129,4,4,259,1666,4,3/14/2012 0:00,3/23/2012 0:00,665.028,53.2022,16.6257,734.8559,3/23/2012 0:00
130,4,4,260,1592,2,3/14/2012 0:00,3/23/2012 0:00,97.965,7.8372,2.4491,108.2513,3/23/2012 0:00
131,4,4,258,1618,4,3/14/2012 0:00,3/23/2012 0:00,114.471,9.1577,2.8618,126.4905,3/23/2012 0:00
132,6,4,254,1612,4,3/14/2012 0:00,3/23/2012 0:00,132.6465,10.6117,3.3162,146.5744,3/23/2012 0:00
133,4,4,257,1586,5,3/28/2012 0:00,4/6/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,4/6/2012 0:00
134,4,3,261,1500,1,3/28/2012 0:00,4/6/2012 0:00,418.95,33.516,10.4738,462.9398,4/6/2012 0:00
135,4,4,251,1656,4,3/28/2012 0:00,4/6/2012 0:00,3413.2455,273.0596,85.3311,3771.6362,4/6/2012 0:00
136,4,4,253,1572,1,3/28/2012 0:00,4/6/2012 0:00,461.79,36.9432,11.5448,510.278,4/6/2012 0:00
137,6,4,255,1562,4,4/11/2012 0:00,4/20/2012 0:00,722.4525,57.7962,18.0613,798.31,4/20/2012 0:00
138,4,4,256,1662,2,4/11/2012 0:00,4/20/2012 0:00,37.0755,2.966,0.9269,40.9684,4/20/2012 0:00
139,5,4,252,1682,4,4/11/2012 0:00,4/20/2012 0:00,21558.075,1724.646,538.9519,23821.6729,4/20/2012 0:00
140,4,4,260,1686,4,4/11/2012 0:00,4/20/2012 0:00,351.855,28.1484,8.7964,388.7998,4/20/2012 0:00
141,4,4,258,1684,4,4/11/2012 0:00,4/20/2012 0:00,45172.05,3613.764,1129.3013,49915.1153,4/20/2012 0:00
142,6,4,254,1534,4,4/11/2012 0:00,4/20/2012 0:00,267.183,21.3746,6.6796,295.2372,4/20/2012 0:00
143,4,4,257,1614,5,4/11/2012 0:00,4/20/2012 0:00,415.8,33.264,10.395,459.459,4/20/2012 0:00
144,5,3,261,1588,5,4/11/2012 0:00,4/20/2012 0:00,40471.2,3237.696,1011.78,44720.676,4/20/2012 0:00
145,4,4,250,1622,4,4/11/2012 0:00,4/20/2012 0:00,662.0985,52.9679,16.5525,731.6189,4/20/2012 0:00
146,4,4,253,1632,5,4/11/2012 0:00,4/20/2012 0:00,62092.8,4967.424,1552.32,68612.544,4/20/2012 0:00
147,4,4,255,1608,5,4/11/2012 0:00,4/20/2012 0:00,5948.25,475.86,148.7063,6572.8163,4/20/2012 0:00
148,4,4,256,1576,5,4/11/2012 0:00,4/20/2012 0:00,91117.95,7289.436,2277.9488,100685.3348,4/20/2012 0:00
149,4,4,259,1590,1,4/11/2012 0:00,4/20/2012 0:00,525,42,13.125,580.125,4/20/2012 0:00
150,4,4,260,1514,5,4/11/2012 0:00,4/20/2012 0:00,2003.6835,160.2947,50.0921,2214.0703,4/20/2012 0:00
151,5,4,258,1498,4,4/11/2012 0:00,4/20/2012 0:00,26455.275,2116.422,661.3819,29233.0789,4/20/2012 0:00
152,4,4,254,1674,2,4/11/2012 0:00,4/20/2012 0:00,944.37,75.5496,23.6093,1043.5289,4/20/2012 0:00
153,4,4,252,1652,1,5/2/2012 0:00,5/11/2012 0:00,6993.525,559.482,174.8381,7727.8451,5/11/2012 0:00
154,4,3,261,1578,3,5/2/2012 0:00,5/11/2012 0:00,36122.625,2889.81,903.0656,39915.5006,5/11/2012 0:00
155,4,4,251,1538,5,5/2/2012 0:00,5/11/2012 0:00,37843.575,3027.486,946.0894,41817.1504,5/11/2012 0:00
156,5,4,253,1556,4,5/2/2012 0:00,5/11/2012 0:00,25531.275,2042.502,638.2819,28212.0589,5/11/2012 0:00
157,4,4,255,1554,5,5/30/2012 0:00,6/8/2012 0:00,773.955,61.9164,19.3489,855.2203,6/8/2012 0:00
158,4,4,256,1688,4,5/30/2012 0:00,6/8/2012 0:00,125.748,10.0598,3.1437,138.9515,6/8/2012 0:00
159,4,4,259,1580,5,5/30/2012 0:00,6/8/2012 0:00,150.7905,12.0632,3.7698,166.6235,6/8/2012 0:00
160,4,4,260,1496,4,5/30/2012 0:00,6/8/2012 0:00,391.545,31.3236,9.7886,432.6572,6/8/2012 0:00
161,4,4,258,1494,2,5/30/2012 0:00,6/8/2012 0:00,8847.3,707.784,221.1825,9776.2665,6/8/2012 0:00
162,4,4,254,1650,5,5/30/2012 0:00,6/8/2012 0:00,171.0765,13.6861,4.2769,189.0395,6/8/2012 0:00
163,4,4,257,1654,4,5/30/2012 0:00,6/8/2012 0:00,20397.3,1631.784,509.9325,22539.0165,6/8/2012 0:00
164,4,3,261,1664,3,5/30/2012 0:00,6/8/2012 0:00,14628.075,1170.246,365.7019,16164.0229,6/8/2012 0:00
165,4,4,251,1678,3,5/30/2012 0:00,6/8/2012 0:00,58685.55,4694.844,1467.1388,64847.5328,6/8/2012 0:00
166,4,4,253,1616,4,5/30/2012 0:00,6/8/2012 0:00,481.887,38.551,12.0472,532.4852,6/8/2012 0:00
167,4,4,255,1492,4,5/30/2012 0:00,6/8/2012 0:00,710.955,56.8764,17.7739,785.6053,6/8/2012 0:00
168,4,4,256,1602,5,5/30/2012 0:00,6/8/2012 0:00,1796.0355,143.6828,44.9009,1984.6192,6/8/2012 0:00
169,4,4,259,1540,4,5/30/2012 0:00,6/8/2012 0:00,664.3035,53.1443,16.6076,734.0554,6/8/2012 0:00
170,4,4,260,1628,5,5/30/2012 0:00,6/8/2012 0:00,34644.225,2771.538,866.1056,38281.8686,6/8/2012 0:00
171,4,4,258,1604,3,5/30/2012 0:00,6/8/2012 0:00,1581.93,126.5544,39.5483,1748.0327,6/8/2012 0:00
172,4,4,254,1690,5,5/30/2012 0:00,6/8/2012 0:00,146.286,11.7029,3.6572,161.6461,6/8/2012 0:00
173,4,4,257,1566,5,6/11/2012 0:00,6/20/2012 0:00,102.564,8.2051,2.5641,113.3332,6/20/2012 0:00
174,4,3,261,1698,5,6/11/2012 0:00,6/20/2012 0:00,150.7905,12.0632,3.7698,166.6235,6/20/2012 0:00
175,4,4,251,1560,5,6/11/2012 0:00,6/20/2012 0:00,13669.425,1093.554,341.7356,15104.7146,6/20/2012 0:00
176,4,4,253,1692,5,6/11/2012 0:00,6/20/2012 0:00,13458.69,1076.6952,336.4673,14871.8525,6/20/2012 0:00
177,4,4,252,1696,2,6/22/2012 0:00,7/1/2012 0:00,101720.85,8137.668,2543.0213,112401.5393,7/1/2012 0:00
178,4,4,256,1504,1,6/22/2012 0:00,7/1/2012 0:00,551.88,44.1504,13.797,609.8274,7/1/2012 0:00
179,4,4,259,1544,1,6/22/2012 0:00,7/1/2012 0:00,6987.75,559.02,174.6938,7721.4638,7/1/2012 0:00
180,4,4,260,1530,2,6/22/2012 0:00,7/1/2012 0:00,28072.275,2245.782,701.8069,31019.8639,7/1/2012 0:00
181,4,4,258,1508,1,6/22/2012 0:00,7/1/2012 0:00,1917.3,153.384,47.9325,2118.6165,7/1/2012 0:00
182,4,4,254,1694,1,6/22/2012 0:00,7/1/2012 0:00,4215.75,337.26,105.3938,4658.4038,7/1/2012 0:00
183,4,4,257,1624,2,6/22/2012 0:00,7/1/2012 0:00,28297.5,2263.8,707.4375,31268.7375,7/1/2012 0:00
184,4,3,261,1548,2,6/22/2012 0:00,7/1/2012 0:00,59.9445,4.7956,1.4986,66.2387,7/1/2012 0:00
185,4,4,251,1598,4,6/22/2012 0:00,7/1/2012 0:00,1055.565,84.4452,26.3891,1166.3993,7/1/2012 0:00
186,4,4,253,1658,5,6/22/2012 0:00,7/1/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,7/1/2012 0:00
187,4,4,255,1536,4,6/22/2012 0:00,7/1/2012 0:00,747.81,59.8248,18.6953,826.3301,7/1/2012 0:00
188,4,4,252,1568,1,6/22/2012 0:00,7/1/2012 0:00,20957.475,1676.598,523.9369,23158.0099,7/1/2012 0:00
189,4,4,259,1648,5,6/22/2012 0:00,7/1/2012 0:00,142.4115,11.3929,3.5603,157.3647,7/1/2012 0:00
190,4,4,260,1646,2,6/22/2012 0:00,7/1/2012 0:00,48030.675,3842.454,1200.7669,53073.8959,7/1/2012 0:00
191,4,4,258,1672,4,6/22/2012 0:00,7/1/2012 0:00,28597.023,2287.7618,714.9256,31599.7104,7/1/2012 0:00
192,4,4,250,1600,1,6/22/2012 0:00,7/1/2012 0:00,1276.275,102.102,31.9069,1410.2839,7/1/2012 0:00
193,4,4,257,1522,1,6/25/2012 0:00,7/4/2012 0:00,2003.925,160.314,50.0981,2214.3371,7/4/2012 0:00
194,4,3,261,1570,2,6/25/2012 0:00,7/4/2012 0:00,28343.7,2267.496,708.5925,31319.7885,7/4/2012 0:00
195,4,4,251,1516,1,6/25/2012 0:00,7/4/2012 0:00,454.86,36.3888,11.3715,502.6203,7/4/2012 0:00
196,4,4,253,1506,5,6/25/2012 0:00,7/4/2012 0:00,43878.45,3510.276,1096.9613,48485.6873,7/4/2012 0:00
197,4,4,255,1626,2,6/25/2012 0:00,7/4/2012 0:00,7132.125,570.57,178.3031,7880.9981,7/4/2012 0:00
198,4,4,256,1542,2,6/25/2012 0:00,7/4/2012 0:00,28343.7,2267.496,708.5925,31319.7885,7/4/2012 0:00
199,4,4,259,1610,4,6/25/2012 0:00,7/4/2012 0:00,22516.725,1801.338,562.9181,24880.9811,7/4/2012 0:00
200,4,4,260,1638,5,6/25/2012 0:00,7/4/2012 0:00,34644.225,2771.538,866.1056,38281.8686,7/4/2012 0:00
201,4,4,258,1582,5,7/27/2012 0:00,8/5/2012 0:00,532.917,42.6334,13.3229,588.8733,8/5/2012 0:00
202,4,4,254,1510,5,7/27/2012 0:00,8/5/2012 0:00,143.0415,11.4433,3.576,158.0608,8/5/2012 0:00
203,4,4,257,1526,2,7/27/2012 0:00,8/5/2012 0:00,28199.325,2255.946,704.9831,31160.2541,8/5/2012 0:00
204,4,3,261,1644,1,7/27/2012 0:00,8/5/2012 0:00,3713.325,297.066,92.8331,4103.2241,8/5/2012 0:00
205,4,4,251,1680,5,7/27/2012 0:00,8/5/2012 0:00,63831.075,5106.486,1595.7769,70533.3379,8/5/2012 0:00
206,4,4,253,1584,5,7/27/2012 0:00,8/5/2012 0:00,13361.04,1068.8832,334.026,14763.9492,8/5/2012 0:00
207,4,4,255,1620,5,7/27/2012 0:00,8/5/2012 0:00,5711.475,456.918,142.7869,6311.1799,8/5/2012 0:00
208,4,4,256,1666,4,7/27/2012 0:00,8/5/2012 0:00,627.4485,50.1959,15.6862,693.3306,8/5/2012 0:00
209,4,4,259,1592,2,7/31/2012 0:00,8/9/2012 0:00,97.965,7.8372,2.4491,108.2513,8/9/2012 0:00
